City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
de aar,-30.6497,24.0123,50.38,35,20,9.22,ZA,1626040104
kirzhach,56.15,38.8667,62.02,73,0,5.26,RU,1626040104
ceuta,35.8903,-5.3075,77.11,67,94,11.65,ES,1626040104
nanortalik,60.1432,-45.2371,41.41,99,100,2.8,GL,1626040104
rozivka,46.9385,35.7724,72.61,60,77,9.1,UA,1626040105
tagusao,9.1924,117.8141,79.48,86,94,6.2,PH,1626040105
rio gallegos,-51.6226,-69.2181,37.45,65,0,36.82,AR,1626040105
inta,66.0317,60.1659,39.6,78,40,8.57,RU,1626040105
cabedelo,-6.9811,-34.8339,75.87,81,11,13.44,BR,1626040106
puerto baquerizo moreno,-0.9,-89.6,71.26,76,19,11.95,EC,1626040106
kapaa,22.0752,-159.319,86.32,72,40,3.0,US,1626040106
bathsheba,13.2167,-59.5167,83.01,83,75,24.16,BB,1626040107
mount gambier,-37.8333,140.7667,48.11,71,75,14.97,AU,1626040107
bethel,41.3712,-73.414,77.63,86,90,6.91,US,1626040107
half moon bay,37.4636,-122.4286,96.15,63,20,10.36,US,1626039982
luau,-10.7073,22.2247,58.01,35,0,4.74,AO,1626040107
karasjok,69.4719,25.5112,51.91,72,100,10.47,NO,1626040108
souillac,-20.5167,57.5167,71.37,78,75,12.66,MU,1626040108
mezen,65.8522,44.24,43.61,79,11,5.28,RU,1626040108
bridlington,54.0831,-0.1919,62.62,92,100,11.32,GB,1626040108
mareeba,-17.0,145.4333,65.12,84,100,2.62,AU,1626040108
kahului,20.8947,-156.47,84.22,59,20,23.02,US,1626040109
vostok,46.4856,135.8833,68.23,85,99,1.16,RU,1626040109
tasiilaq,65.6145,-37.6368,46.56,99,100,9.46,GL,1626040109
ahipara,-35.1667,173.1667,53.55,91,100,22.24,NZ,1626040109
padang,-0.9492,100.3543,75.25,87,98,4.16,ID,1626040110
khandbari,27.3747,87.2039,72.41,88,96,0.89,NP,1626040110
sao mateus,-18.7161,-39.8589,68.72,79,27,5.26,BR,1626040110
jever,53.5833,7.9,67.01,94,75,4.61,DE,1626040111
cayeli,41.0923,40.7292,73.99,86,98,3.13,TR,1626040111
longyearbyen,78.2186,15.6401,40.84,81,40,12.66,SJ,1626039901
winnemucca,40.973,-117.7357,102.25,10,1,3.44,US,1626040112
upernavik,72.7868,-56.1549,39.0,72,9,13.35,GL,1626040112
xining,36.6167,101.7667,51.64,73,2,2.68,CN,1626040112
gat,31.61,34.7642,81.39,100,0,1.68,IL,1626040112
san cristobal,7.7669,-72.225,80.78,64,98,4.41,VE,1626040113
svobodnyy,51.4,128.1333,69.48,67,68,2.42,RU,1626040113
sibolga,1.7427,98.7792,74.97,92,100,1.95,ID,1626040113
fortuna,40.5982,-124.1573,101.48,83,40,11.5,US,1626040113
carutapera,-1.195,-46.02,76.69,91,95,7.47,BR,1626040114
mangan,27.5167,88.5333,75.51,87,76,2.06,IN,1626040114
tukrah,32.5341,20.5791,78.06,67,0,14.25,LY,1626040114
cabo san lucas,22.8909,-109.9124,96.8,64,10,13.35,MX,1626040114
chuy,-33.6971,-53.4616,48.33,70,0,5.68,UY,1626040115
azul,-36.777,-59.8585,47.93,57,20,6.49,AR,1626040115
launceston,-41.45,147.1667,44.15,100,100,6.91,AU,1626040115
badnawar,23.0167,75.2167,82.96,71,94,5.06,IN,1626040115
hohhot,40.8106,111.6522,70.09,78,20,6.71,CN,1626040116
krasnoselkup,65.7,82.4667,47.34,60,65,7.43,RU,1626040116
katoro,-3.0203,31.8958,65.16,47,63,5.68,TZ,1626040116
riachao do dantas,-11.0689,-37.725,68.16,91,16,4.68,BR,1626040116
namatanai,-3.6667,152.4333,81.3,76,78,7.74,PG,1626040117
lagoa,39.05,-27.9833,66.22,71,100,15.32,PT,1626040117
bell ville,-32.6259,-62.6887,57.81,43,93,7.72,AR,1626040117
torbay,47.6666,-52.7314,63.48,93,90,2.3,CA,1626040117
antalaha,-14.9003,50.2788,67.89,93,44,6.91,MG,1626040118
butterworth,5.3991,100.3638,75.24,98,40,0.0,MY,1626040118
urdoma,61.7533,48.5442,57.65,74,14,5.12,RU,1626040118
cuamba,-14.8031,36.5372,64.15,74,38,2.04,MZ,1626040118
berlevag,70.8578,29.0864,51.6,87,0,14.97,NO,1626040118
kamenka,51.3223,42.7678,66.15,70,0,7.54,RU,1626040119
makinsk,52.6292,70.4169,67.15,52,100,5.84,KZ,1626040119
vila velha,-20.3297,-40.2925,71.55,83,0,4.61,BR,1626039977
asau,46.4333,26.4,66.4,99,98,4.79,RO,1626040119
bredasdorp,-34.5322,20.0403,43.92,81,42,6.91,ZA,1626040119
mahdasht,35.7299,50.8111,84.42,56,0,13.8,IR,1626040120
comodoro rivadavia,-45.8667,-67.5,51.66,24,0,27.63,AR,1626040120
phan thiet,10.9333,108.1,76.91,87,88,5.53,VN,1626040120
puerto quijarro,-17.7833,-57.7667,77.81,28,49,1.36,BO,1626040120
ortakoy,38.7373,34.0387,68.25,57,11,3.33,TR,1626040121
lixourion,38.2019,20.4314,76.87,73,0,3.51,GR,1626040121
mamlyutka,54.9375,68.5394,60.98,97,100,10.38,KZ,1626040121
morgan city,29.6994,-91.2068,89.6,70,75,12.66,US,1626040121
kindu,-2.95,25.95,70.92,37,50,2.98,CD,1626040121
alta floresta,-9.8756,-56.0861,78.1,32,54,2.33,BR,1626040122
jacareacanga,-6.2222,-57.7528,84.69,43,94,0.89,BR,1626040122
ashington,50.9331,-0.3909,60.89,87,100,4.72,GB,1626040122
vao,-22.6667,167.4833,70.52,64,43,17.38,NC,1626040122
buraydah,26.326,43.975,97.25,9,74,9.44,SA,1626040123
rocha,-34.4833,-54.3333,46.98,65,4,5.12,UY,1626040123
oktyabrskoye,43.0645,44.7417,59.14,93,66,6.71,RU,1626040123
nishihara,26.1842,127.7558,83.48,89,75,0.0,JP,1626040124
sidney,-33.8679,151.2073,50.72,93,75,1.99,AU,1626039906
yumen,40.2833,97.2,72.34,39,0,5.3,CN,1626040124
egvekinot,66.3167,-179.1667,52.57,73,65,5.66,RU,1626040124
olafsvik,64.8945,-23.7142,54.39,88,85,8.84,IS,1626040124
maniitsoq,65.4167,-52.9,45.03,73,36,2.57,GL,1626040125
thinadhoo,0.5333,72.9333,81.39,72,80,5.37,MV,1626040125
dukat,62.55,155.55,58.55,66,44,10.42,RU,1626040125
bengkulu,-3.8004,102.2655,75.13,88,100,4.72,ID,1626040125
narsaq,60.9167,-46.05,48.42,99,100,5.66,GL,1626040126
kirakira,-10.4544,161.9205,82.04,79,47,7.99,SB,1626040126
dunkirk,51.05,2.3667,62.47,90,100,6.85,FR,1626040126
saint-joseph,-21.3667,55.6167,66.56,75,45,12.03,RE,1626040126
clyde river,70.4692,-68.5914,50.23,66,75,11.5,CA,1626040126
provideniya,64.3833,-173.3,53.71,66,0,6.71,RU,1626040127
montefiascone,42.5393,12.0362,69.48,84,0,3.0,IT,1626040127
erenhot,43.6475,111.9767,77.63,54,94,8.43,CN,1626040127
dalvik,65.9702,-18.5286,55.33,83,100,2.68,IS,1626039965
ponta do sol,32.6667,-17.1,74.03,70,2,5.93,PT,1626040127
chiang klang,19.2938,100.8617,73.42,96,30,1.45,TH,1626040128
flinders,-34.5833,150.8552,47.21,92,100,1.01,AU,1626040025
ilulissat,69.2167,-51.1,51.82,54,67,3.44,GL,1626040128
porto novo,6.4965,2.6036,78.62,83,41,6.73,BJ,1626040128
port hardy,50.6996,-127.4199,64.58,68,20,14.97,CA,1626040128
sao joao da barra,-21.6403,-41.0511,71.69,83,0,8.03,BR,1626040129
arlit,18.7369,7.3853,93.45,15,0,5.32,NE,1626040129
khor,47.8861,134.9464,70.95,91,80,4.56,RU,1626040129
rawson,-43.3002,-65.1023,51.58,49,100,8.7,AR,1626040129
korla,41.7597,86.1469,76.44,38,99,13.33,CN,1626040130
almaty,43.25,76.95,66.11,56,75,4.47,KZ,1626039966
mankato,44.1636,-93.9994,84.49,48,1,8.05,US,1626040017
kaitangata,-46.2817,169.8464,40.93,74,100,7.29,NZ,1626040130
jobat,22.4167,74.5667,80.98,87,100,3.94,IN,1626040130
limenaria,40.6261,24.5786,80.8,60,30,6.85,GR,1626040131
bilibino,68.0546,166.4372,82.42,40,9,15.73,RU,1626040132
severo-yeniseyskiy,60.3725,93.0408,53.69,96,92,5.1,RU,1626040132
sitka,57.0531,-135.33,60.69,59,75,13.8,US,1626040132
victoria,22.2855,114.1577,85.32,86,100,5.99,HK,1626039863
tucuma,-0.1833,-50.05,77.52,88,95,8.86,BR,1626040132
tiksi,71.6872,128.8694,39.2,63,3,6.89,RU,1626040133
kashi,39.4547,75.9797,86.23,15,20,13.42,CN,1626040133
norman wells,65.282,-126.8329,73.44,31,75,8.05,CA,1626040133
nome,64.5011,-165.4064,57.16,76,1,10.36,US,1626040133
rapar,23.5667,70.6333,84.74,77,100,14.12,IN,1626040134
tarrega,41.647,1.1396,76.96,55,80,7.2,ES,1626040134
cayenne,4.9333,-52.3333,77.09,90,91,1.01,GF,1626040054
sharkan,57.2989,53.8712,53.17,74,0,7.94,RU,1626040134
perth,-31.9333,115.8333,61.03,76,75,13.8,AU,1626039986
bondo,3.8146,23.6866,67.57,97,99,0.87,CD,1626040134
tateyama,34.9833,139.8667,79.02,85,81,1.68,JP,1626040135
oranjemund,-28.55,16.4333,52.47,79,26,2.46,NA,1626040135
muroto,33.2833,134.15,77.04,81,100,4.27,JP,1626040135
madaoua,14.073,5.96,85.32,54,75,15.19,NE,1626040135
mabaruma,8.2,-59.7833,78.21,88,40,4.9,GY,1626040135
strezhevoy,60.7333,77.5889,39.18,74,61,4.52,RU,1626040136
ottappalam,10.7667,76.3833,76.05,97,100,3.49,IN,1626040136
lorengau,-2.0226,147.2712,82.42,79,98,7.76,PG,1626040136
morant bay,17.8815,-76.4093,92.62,66,14,10.74,JM,1626040136
kibakwe,-6.7167,36.3667,58.23,75,9,4.0,TZ,1626040137
ostrovnoy,68.0531,39.5131,43.25,75,42,6.98,RU,1626040137
puerto colombia,10.9878,-74.9547,82.49,80,99,16.82,CO,1626040137
brownwood,31.7093,-98.9912,92.97,38,29,3.98,US,1626040137
sungaipenuh,-2.0833,101.3833,65.26,96,100,3.76,ID,1626040138
georgetown,5.4112,100.3354,75.13,98,40,1.01,MY,1626040138
noumea,-22.2763,166.4572,70.0,99,32,7.87,NC,1626040138
gubkinskiy,64.434,76.5026,54.25,58,99,11.27,RU,1626040138
marystown,47.1666,-55.1483,59.02,84,57,7.29,CA,1626040138
tilichiki,60.4667,166.1,63.93,46,16,4.23,RU,1626040139
narva-joesuu,59.4589,28.0408,63.37,88,1,5.99,EE,1626040139
homer,59.6425,-151.5483,61.09,62,90,8.05,US,1626040139
kudahuvadhoo,2.6708,72.8944,81.59,78,95,10.42,MV,1626040139
igarka,67.4667,86.5833,44.67,72,68,6.51,RU,1626040140
siuna,13.7332,-84.7773,72.05,99,100,2.75,NI,1626040140
dengfeng,34.4553,113.0281,75.76,91,2,3.24,CN,1626040140
buchanan,5.8808,-10.0467,78.76,80,41,7.09,LR,1626040140
hwange,-18.3693,26.5019,58.8,46,0,2.19,ZW,1626040141
aykhal,66.0,111.5,46.89,89,96,3.2,RU,1626040141
igrim,63.1906,64.4162,54.7,61,100,7.45,RU,1626040141
pangnirtung,66.1451,-65.7125,56.28,51,34,4.65,CA,1626040141
tuatapere,-46.1333,167.6833,40.39,87,97,4.41,NZ,1626040142
taseyevo,57.2169,94.8978,56.03,86,67,2.82,RU,1626040142
calama,-22.4667,-68.9333,72.09,7,20,21.85,CL,1626039847
creel,27.75,-107.6333,70.09,57,96,7.74,MX,1626040142
ornskoldsvik,63.2909,18.7153,61.75,100,27,4.61,SE,1626040142
peniche,39.3558,-9.3811,67.62,88,43,19.33,PT,1626040143
balakhonovskoye,44.7767,41.7842,75.27,61,0,3.15,RU,1626040143
chumikan,54.7183,135.315,53.47,96,100,0.81,RU,1626040143
kavieng,-2.5744,150.7967,81.88,79,88,12.97,PG,1626040143
stolin,51.8912,26.846,68.54,71,24,5.68,BY,1626040144
kropotkin,45.4375,40.5756,71.55,61,0,0.29,RU,1626040144
walvis bay,-22.9575,14.5053,56.08,94,0,6.91,NA,1626040144
carbondale,37.7273,-89.2168,82.54,77,75,8.05,US,1626040144
bonthe,7.5264,-12.505,75.85,91,100,9.75,SL,1626040145
mehamn,71.0357,27.8492,48.11,81,6,9.89,NO,1626040145
isangel,-19.55,169.2667,77.11,94,75,0.0,VU,1626040145
yellowknife,62.456,-114.3525,76.32,48,75,1.01,CA,1626040145
dekar,-21.5333,21.9333,52.68,33,0,5.86,BW,1626040145
copiapo,-27.3667,-70.3333,53.29,57,2,3.33,CL,1626040146
beringovskiy,63.05,179.3167,60.84,62,81,3.76,RU,1626040146
muisne,0.6,-80.0333,84.31,80,73,8.77,EC,1626040146
hamilton,39.1834,-84.5333,82.78,78,20,3.0,US,1626039915
leon valley,29.4952,-98.6186,91.47,57,40,4.0,US,1626040146
baturaja,-4.1333,104.1667,71.08,99,65,2.37,ID,1626040147
coihaique,-45.5752,-72.0662,40.95,65,75,5.75,CL,1626040147
prokuplje,43.2342,21.5881,78.08,70,100,1.21,RS,1626040147
dehu,18.7167,73.7667,75.16,92,100,4.92,IN,1626040147
pidhorodne,48.5753,35.1068,70.84,67,8,6.11,UA,1626040148
aklavik,68.2191,-135.0107,68.72,68,100,22.66,CA,1626040148
el espinal,16.3333,-94.0667,83.53,67,82,3.74,MX,1626040148
bambous virieux,-20.3428,57.7575,71.22,78,75,12.66,MU,1626040148
roebourne,-20.7833,117.1333,67.06,71,13,1.9,AU,1626040149
komsomolskiy,40.4272,71.7189,77.72,50,40,11.5,UZ,1626040149
robertsport,6.7533,-11.3686,77.65,83,100,10.78,LR,1626040149
puerto madryn,-42.7692,-65.0385,53.76,47,100,10.04,AR,1626040149
mayo,38.8876,-76.5119,91.24,77,49,1.99,US,1626040150
rudbar,30.15,62.6,88.43,25,0,9.13,AF,1626040150
lusambo,-4.9667,23.45,67.5,32,76,2.28,CD,1626040150
pangkalanbuun,-2.6833,111.6167,74.1,99,69,1.88,ID,1626040150
port-cartier,50.0334,-66.8654,61.93,74,100,7.56,CA,1626040151
la romana,18.4273,-68.9728,82.76,83,75,6.91,DO,1626040141
constitucion,-35.3333,-72.4167,49.71,72,96,9.69,CL,1626040151
lang suan,9.9456,99.0785,76.35,89,100,3.78,TH,1626040151
alta,69.9689,23.2717,69.06,52,20,6.91,NO,1626040151
cedar city,37.6775,-113.0619,99.57,9,1,0.0,US,1626040152
castro,-24.7911,-50.0119,54.19,75,14,2.98,BR,1626040152
leningradskiy,69.3833,178.4167,65.46,63,50,5.88,RU,1626040152
boa viagem,-5.1275,-39.7322,78.78,56,83,2.39,BR,1626040152
broken hill,-31.95,141.4333,55.11,33,61,13.8,AU,1626040153
linxia,35.6003,103.2064,56.86,83,42,3.83,CN,1626040153
canavieiras,-15.675,-38.9472,70.92,85,37,6.08,BR,1626040153
muscat,23.6139,58.5922,91.42,68,51,7.56,OM,1626040106
necochea,-38.5473,-58.7368,55.04,51,1,9.55,AR,1626040153
kozluk,38.1938,41.4885,68.25,26,0,5.32,TR,1626040154
meulaboh,4.1363,96.1285,74.93,83,96,4.0,ID,1626040154
ilo,-17.6394,-71.3375,61.25,76,18,3.24,PE,1626040154
salalah,17.0151,54.0924,80.69,89,90,6.91,OM,1626040155
brae,60.3964,-1.353,57.11,89,95,1.45,GB,1626040155
abong mbang,3.9833,13.1833,66.88,98,32,3.22,CM,1626040155
suruc,36.9761,38.425,84.4,46,0,10.38,TR,1626040156
martaban,16.5314,97.6111,78.06,88,87,4.61,MM,1626040156
coquimbo,-29.9533,-71.3436,55.13,82,90,9.22,CL,1626040156
mount darwin,-16.7725,31.5838,53.13,77,1,1.54,ZW,1626040156
gravdal,68.1214,13.5031,58.89,94,75,8.05,NO,1626040157
lac du bonnet,50.2536,-96.0612,94.59,38,49,2.17,CA,1626040157
beyneu,45.3167,55.2,81.19,47,44,8.08,KZ,1626040157
sept-iles,50.2001,-66.3821,61.25,92,75,1.99,CA,1626039876
leh,34.1667,77.5833,64.4,44,15,5.14,IN,1626040157
bridge city,30.0208,-93.8457,89.58,75,40,9.22,US,1626040158
odienne,9.51,-7.5692,71.49,96,87,4.18,CI,1626040158
taoudenni,22.6783,-3.9836,91.87,37,42,10.74,ML,1626040158
otradnoye,59.7775,30.8181,69.85,85,1,4.5,RU,1626039982
nizhneudinsk,54.9076,99.0276,53.8,90,50,1.5,RU,1626040158
suoyarvi,62.0833,32.35,65.5,69,1,4.97,RU,1626040159
cairns,-16.9167,145.7667,69.75,77,90,6.91,AU,1626040104
dudinka,69.4058,86.1778,43.25,85,100,12.21,RU,1626040159
yeniseysk,58.4497,92.1703,60.57,73,100,1.45,RU,1626040159
puerto madero,14.7208,-92.4215,84.51,67,100,4.56,MX,1626040159
molochnoye,59.2917,39.6787,63.07,63,2,5.21,RU,1626040160
